iter	Passed	Remaining
783	12304	3390
784	12320	3374
785	12337	3358
786	12352	3343
787	12368	3327
788	12384	3311
789	12399	3296
790	12415	3280
791	12430	3264
792	12446	3249
793	12461	3233
794	12475	3217
795	12491	3201
796	12508	3185
797	12522	3169
798	12538	3154
799	12555	3138
800	12570	3123
801	12586	3107
802	12603	3091
803	12620	3076
804	12636	3061
805	12650	3044
806	12664	3028
807	12677	3012
808	12690	2996
809	12703	2979
810	12717	2963
811	12731	2947
812	12746	2931
813	12764	2916
814	12780	2901
815	12794	2885
816	12810	2869
817	12827	2854
818	12844	2838
819	12861	2823
820	12877	2807
821	12894	2792
822	12909	2776
823	12926	2761
824	12942	2745
825	12959	2729
826	12975	2714
827	12994	2699
828	13010	2683
829	13027	2668
830	13046	2653
831	13064	2638
832	13082	2622
833	13098	2607
834	13113	2591
835	13127	2575
836	13144	2559
837	13161	2544
838	13179	2529
839	13196	2513
840	13214	2498
841	13230	2482
842	13248	2467
843	13264	2451
844	13282	2436
845	13299	2420
846	13316	2405
847	13332	2389
848	13348	2374
849	13365	2358
850	13380	2342
851	13396	2327
852	13414	2311
853	13432	2296
854	13450	2281
855	13468	2265
856	13487	2250
857	13505	2235
858	13524	2219
859	13543	2204
860	13563	2189
861	13581	2174
862	13598	2158
863	13615	2143
864	13630	2127
865	13644	2111
866	13659	2095
867	13676	2079
868	13690	2063
869	13703	2047
870	13714	2031
871	13727	2014
872	13738	1998
873	13753	1982
874	13766	1966
875	13792	1952
876	13806	1936
877	13820	1920
878	13834	1904
879	13851	1888
880	13864	1872
881	13876	1856
882	13890	1840
883	13901	1824
884	13913	1807
885	13925	1791
886	13937	1775
887	13948	1759
888	13962	1743
889	13974	1727
890	13985	1710
891	13997	1694
892	14008	1678
893	14018	1662
894	14029	1645
895	14040	1629
896	14051	1613
897	14062	1597
898	14072	1581
899	14083	1564
900	14094	1548
901	14106	1532
902	14118	1516
903	14131	1500
904	14144	1484
905	14158	1468
906	14172	1453
907	14186	1437
908	14200	1421
909	14215	1405
910	14231	1390
911	14246	1374
912	14262	1359
913	14277	1343
914	14293	1327
915	14308	1312
916	14324	1296
917	14341	1281
918	14359	1265
919	14375	1250
920	14391	1234
921	14409	1218
922	14426	1203
923	14443	1188
924	14459	1172
925	14476	1156
926	14493	1141
927	14508	1125
928	14524	1110
929	14541	1094
930	14558	1078
931	14574	1063
932	14591	1047
933	14607	1032
934	14623	1016
935	14639	1001
936	14656	985
937	14672	969
938	14688	954
939	14705	938
940	14721	923
941	14738	907
942	14758	892
943	14776	876
944	14793	860
945	14808	845
946	14825	829
947	14841	814
948	14857	798
949	14874	782
950	14889	767
951	14906	751
952	14924	736
953	14941	720
954	14958	704
955	14974	689
956	14990	673
957	15006	657
958	15023	642
959	15039	626
960	15055	610
961	15072	595
962	15088	579
963	15105	564
964	15121	548
965	15136	532
966	15153	517
967	15169	501
968	15185	485
969	15200	470
970	15216	454
971	15231	438
972	15247	423
973	15263	407
974	15278	391
975	15293	376
976	15309	360
977	15324	344
978	15339	329
979	15354	313
980	15369	297
981	15385	282
